Date,USD_KZT
2024-01-01,470.99342830602245
2024-01-02,470.7168997036801
2024-01-03,472.01227677988146
2024-01-04,475.05833649269755
2024-01-05,474.59002974325085
2024-01-06,474.1217558293525
2024-01-07,477.28018146036726
2024-01-08,478.8150509186731
2024-01-09,477.8761021468032
2024-01-10,478.96122223397515
2024-01-11,478.0343868483502
2024-01-12,477.1029273412097
2024-01-13,477.58685188434174
2024-01-14,473.7602913950262
2024-01-15,470.3104557300001
2024-01-16,469.18588067151813
2024-01-17,467.1602184308493
2024-01-18,467.7887130960398
2024-01-19,465.9726649449974
2024-01-20,463.14805754232685
2024-01-21,466.07935508016993
2024-01-22,465.6278024791969
2024-01-23,465.76285888857274
2024-01-24,462.9133625161458
2024-01-25,461.82459706709545
2024-01-26,462.0464422465152
2024-01-27,459.7444550916706
2024-01-28,460.4958511283619
2024-01-29,459.29457374852433
2024-01-30,458.71118624893774
2024-01-31,457.507773024479
2024-02-01,461.2123293934968
2024-02-02,461.18533494402095
2024-02-03,459.0699130861092
2024-02-04,460.71500291031555
2024-02-05,458.2733156103735
2024-02-06,458.691042800383
2024-02-07,454.7717025526235
2024-02-08,452.1153304548266
2024-02-09,452.50905292656483
2024-02-10,453.98598608655567
2024-02-11,454.32872264893564
2024-02-12,454.0974260841591
2024-02-13,453.49521869298053
2024-02-14,450.5381747122457
2024-02-15,449.09848629545627
2024-02-16,448.1772087535367
2024-02-17,450.29145320597456
2024-02-18,450.97868978511144
2024-02-19,447.452609474386
2024-02-20,448.1007774131756
2024-02-21,447.33061285234294
2024-02-22,445.97676885173104
2024-02-23,447.2001214294128
2024-02-24,449.2621204744047
2024-02-25,451.1246807126371
2024-02-26,449.44624566619177
2024-02-27,448.82782091448934
2024-02-28,449.4903477772965
2024-02-29,451.4414380315412
2024-03-01,450.4830895558506
2024-03-02,450.111771602523
2024-03-03,447.89910165451096
2024-03-04,445.5066884063496
2024-03-05,447.13174005113797
2024-03-06,449.8442201082796
2024-03-07,449.700199865119
2024-03-08,451.70726566090303
2024-03-09,452.4305377109983
2024-03-10,451.140298201788
2024-03-11,451.86308941280487
2024-03-12,454.9391625457368
2024-03-13,454.8675104675169
2024-03-14,457.9967977791449
2024-03-15,452.7573075709654
2024-03-16,454.40111257971586
2024-03-17,454.5752067161922
2024-03-18,453.97719201526047
2024-03-19,454.16071356833146
